subject,protocol,model,accuracy,macro_f1
1,within_session,eegnet,0.3448275862068966,0.25451297524512456
1,within_session,shallow_fbcsp,0.6666666666666666,0.6642570108212061
2,within_session,eegnet,0.23563218390804597,0.10389671361502346
2,within_session,shallow_fbcsp,0.367816091954023,0.33022066429146074
3,within_session,eegnet,0.4885057471264368,0.34656626506024096
3,within_session,shallow_fbcsp,0.7816091954022989,0.7665322056657715
4,within_session,eegnet,0.26436781609195403,0.18696023991527896
4,within_session,shallow_fbcsp,0.5114942528735632,0.48775188809082015
5,within_session,eegnet,0.27011494252873564,0.14124231782265145
5,within_session,shallow_fbcsp,0.2413793103448276,0.22539377469891958
6,within_session,eegnet,0.40229885057471265,0.32538281632484534
6,within_session,shallow_fbcsp,0.4482758620689655,0.44740607857150855
7,within_session,eegnet,0.3103448275862069,0.18452154022112086
7,within_session,shallow_fbcsp,0.6551724137931034,0.6586658160344179
8,within_session,eegnet,0.3448275862068966,0.23242266497150105
8,within_session,shallow_fbcsp,0.7586206896551724,0.7472895544693245
9,within_session,eegnet,0.5114942528735632,0.43738370547581074
9,within_session,shallow_fbcsp,0.7816091954022989,0.777182797967614
