subject,protocol,model,accuracy,macro_f1
1,within_session,csp_lda,0.7701149425287356,0.7659794621410531
1,within_session,fbcsp,0.8505747126436781,0.8460763527252889
1,within_session,riemannian_ts_logreg,0.8103448275862069,0.8052593536464504
1,cross_session,riemannian_ts_logreg,0.8333333333333334,0.8331468001450917
2,within_session,csp_lda,0.5057471264367817,0.5081700819325242
2,within_session,fbcsp,0.4827586206896552,0.4864666737838511
2,within_session,riemannian_ts_logreg,0.5402298850574713,0.5385750078750328
2,cross_session,riemannian_ts_logreg,0.4791666666666667,0.4691005201872734
3,within_session,csp_lda,0.8275862068965517,0.8212294812764316
3,within_session,fbcsp,0.8908045977011494,0.8898286969991273
3,within_session,riemannian_ts_logreg,0.8793103448275862,0.8738326084330071
3,cross_session,riemannian_ts_logreg,0.8645833333333334,0.8618297441826854
4,within_session,csp_lda,0.5172413793103449,0.5136934385223222
4,within_session,fbcsp,0.5919540229885057,0.5792443486683863
4,within_session,riemannian_ts_logreg,0.6149425287356322,0.6114144055791653
4,cross_session,riemannian_ts_logreg,0.5902777777777778,0.5791485168630638
5,within_session,csp_lda,0.4022988505747126,0.4040632544392049
5,within_session,fbcsp,0.6264367816091954,0.6202958178519735
5,within_session,riemannian_ts_logreg,0.4310344827586206,0.4281285182201116
5,cross_session,riemannian_ts_logreg,0.4444444444444444,0.4327594421037961
6,within_session,csp_lda,0.4425287356321839,0.4407273254129238
6,within_session,fbcsp,0.4885057471264368,0.488718342458886
6,within_session,riemannian_ts_logreg,0.5057471264367817,0.5043769324129145
6,cross_session,riemannian_ts_logreg,0.4895833333333333,0.481940006971166
7,within_session,csp_lda,0.7586206896551724,0.7652274827534332
7,within_session,fbcsp,0.8448275862068966,0.8487086305507358
7,within_session,riemannian_ts_logreg,0.8160919540229885,0.8211493636858581
7,cross_session,riemannian_ts_logreg,0.7708333333333334,0.7725950995704663
8,within_session,csp_lda,0.7988505747126436,0.7878717062927589
8,within_session,fbcsp,0.8275862068965517,0.8222700119474313
8,within_session,riemannian_ts_logreg,0.8620689655172413,0.8575990868640024
8,cross_session,riemannian_ts_logreg,0.7673611111111112,0.7765821312841164
9,within_session,csp_lda,0.764367816091954,0.7490434672274592
9,within_session,fbcsp,0.764367816091954,0.7524962292609351
9,within_session,riemannian_ts_logreg,0.8390804597701149,0.8335145949442301
9,cross_session,riemannian_ts_logreg,0.8020833333333334,0.8067883373665001
