subject,protocol,model,accuracy,macro_f1
S10,loso,lda,0.7830401443391971,0.15370694028319948
S10,loso,svm,0.7830401443391971,0.15481327353780389
S1,loso,lda,0.7232467169600447,0.14860239548107074
S1,loso,svm,0.721709974853311,0.13493460914152675
S2,loso,lda,0.7855224751897256,0.13337237179299558
S2,loso,svm,0.7875072971395213,0.13432994710695906
S3,loso,lda,0.6156096263794708,0.14466870907148627
S3,loso,svm,0.611487834064619,0.13482772529997192
S4,loso,lda,0.7793493635077794,0.20184381085021852
S4,loso,svm,0.7852428099952853,0.22852987020584198
S5,loso,lda,0.7599105987530879,0.1297425067248053
S5,loso,svm,0.7602634984119515,0.13379585294530183
S6,loso,lda,0.6933671620152229,0.1622342578495313
S6,loso,svm,0.732632596351335,0.17246903791733667
S7,loso,lda,0.7594862813776999,0.15122475449841377
S7,loso,svm,0.7627553998832458,0.1489579492875736
S8,loso,lda,0.783755640402638,0.1592981653513091
S8,loso,svm,0.7860696517412935,0.16402587380237005
S9,loso,lda,0.7331582553094314,0.14220175819863995
S9,loso,svm,0.7522265357387531,0.14005288263051555
