subject,protocol,model,accuracy,macro_f1
S10,within_subject,lda,0.8992220650636492,0.6875372991196198
S10,within_subject,svm,0.9024045261669024,0.6789262258311991
S10,within_subject,lgbm,0.9243281471004243,0.7517494802121553
S10,within_subject,cnn,0.8928571428571429,0.6435247397288146
S10,random_shuffle_leaky,lda,0.9191729323308271,0.7251560751320436
S10,random_shuffle_leaky,svm,0.9281954887218045,0.7422333194486695
S10,random_shuffle_leaky,lgbm,0.9515037593984963,0.8238442108211718
S10,random_shuffle_leaky,cnn,0.9552631578947368,0.8392995440310861
S1,within_subject,lda,0.869325413661434,0.6107212193115188
S1,within_subject,svm,0.8570216376750106,0.572971665427052
S1,within_subject,lgbm,0.9028425965210013,0.7018639159555861
S1,within_subject,cnn,0.8485362749257531,0.5349833186859639
S1,random_shuffle_leaky,lda,0.8919422449930136,0.6893757697994924
S1,random_shuffle_leaky,svm,0.8924080111783884,0.6879510129697033
S1,random_shuffle_leaky,lgbm,0.9450395901257569,0.839193839293476
S1,random_shuffle_leaky,cnn,0.9003260363297625,0.7038093311493527
S2,within_subject,lda,0.9059494121838262,0.6750381870169082
S2,within_subject,svm,0.9137869611685073,0.6903046380918461
S2,within_subject,lgbm,0.935874599216245,0.7629771047445008
S2,within_subject,cnn,0.8831492696829355,0.551017900454327
S2,random_shuffle_leaky,lda,0.9170883612300506,0.7009982452816581
S2,random_shuffle_leaky,svm,0.9346049046321526,0.7613871303513514
S2,random_shuffle_leaky,lgbm,0.9536784741144414,0.8300726196905996
S2,random_shuffle_leaky,cnn,0.9435578045932269,0.7950454509650056
S3,within_subject,lda,0.916256157635468,0.7433286092472174
S3,within_subject,svm,0.9035303776683087,0.6995971743555052
S3,within_subject,lgbm,0.9355500821018062,0.7995612787225092
S3,within_subject,cnn,0.8690476190476191,0.5402933677060788
S3,random_shuffle_leaky,lda,0.9162234042553191,0.7532093117120736
S3,random_shuffle_leaky,svm,0.9233156028368794,0.7710534898678401
S3,random_shuffle_leaky,lgbm,0.9516843971631206,0.8652208696496301
S3,random_shuffle_leaky,cnn,0.9131205673758865,0.7285597477019847
S4,within_subject,lda,0.8855721393034826,0.6242899268867557
S4,within_subject,svm,0.8720682302771855,0.5840722432504238
S4,within_subject,lgbm,0.8923240938166311,0.6441043047454341
S4,within_subject,cnn,0.8695806680881307,0.5609799418963289
S4,random_shuffle_leaky,lda,0.8978388998035364,0.6665619530168418
S4,random_shuffle_leaky,svm,0.9072691552062868,0.6974850581139593
S4,random_shuffle_leaky,lgbm,0.9363457760314342,0.7873454981732859
S4,random_shuffle_leaky,cnn,0.9143418467583497,0.7049891797102369
S5,within_subject,lda,0.8826040554962646,0.6240237268146303
S5,within_subject,svm,0.8648167911775169,0.5544988296035328
S5,within_subject,lgbm,0.9295624332977588,0.7734619177539889
S5,within_subject,cnn,0.8505869797225186,0.5000344045100377
S5,random_shuffle_leaky,lda,0.8952941176470588,0.6651544429941588
S5,random_shuffle_leaky,svm,0.9086274509803921,0.7055023266793954
S5,random_shuffle_leaky,lgbm,0.9458823529411765,0.8218055317373283
S5,random_shuffle_leaky,cnn,0.9043137254901961,0.6911565639139514
S6,within_subject,lda,0.8613274008157211,0.6128627124307702
S6,within_subject,svm,0.8587319243604005,0.5910415284696426
S6,within_subject,lgbm,0.9043381535038932,0.7231190119405942
S6,within_subject,cnn,0.8298109010011123,0.48668726715965577
S6,random_shuffle_leaky,lda,0.8679017317760773,0.6442855864093068
S6,random_shuffle_leaky,svm,0.8775674587192912,0.6482247889561659
S6,random_shuffle_leaky,lgbm,0.9387837293596456,0.8266503751451284
S6,random_shuffle_leaky,cnn,0.9158276278695127,0.7527323640414905
S7,within_subject,lda,0.8775580992022199,0.6145494266245722
S7,within_subject,svm,0.8733957682969129,0.5899230013551072
S7,within_subject,lgbm,0.882414151925078,0.6217801828876564
S7,within_subject,cnn,0.8473812001387444,0.5328682252249374
S7,random_shuffle_leaky,lda,0.8801089918256131,0.6555883030424492
S7,random_shuffle_leaky,svm,0.8941222265472947,0.6811159390999154
S7,random_shuffle_leaky,lgbm,0.9217594394706111,0.7697720287618727
S7,random_shuffle_leaky,cnn,0.9194239003503308,0.7659503297697478
S8,within_subject,lda,0.8915874692009855,0.6279450035085804
S8,within_subject,svm,0.8961633227736713,0.6387860695423531
S8,within_subject,lgbm,0.9179866244280183,0.7148986580702684
S8,within_subject,cnn,0.8908834917282646,0.6097918084779496
S8,random_shuffle_leaky,lda,0.9116512345679012,0.6973189890579844
S8,random_shuffle_leaky,svm,0.9251543209876543,0.740672259269638
S8,random_shuffle_leaky,lgbm,0.9417438271604939,0.8017718026392296
S8,random_shuffle_leaky,cnn,0.941358024691358,0.7886939752930403
S9,within_subject,lda,0.8934224410833627,0.6713741410000484
S9,within_subject,svm,0.885684136475554,0.643968830990002
S9,within_subject,lgbm,0.914526908195568,0.7402157642195074
S9,within_subject,cnn,0.8698557861413999,0.5697240526608449
S9,random_shuffle_leaky,lda,0.9078797106966121,0.7043899842390993
S9,random_shuffle_leaky,svm,0.9154929577464789,0.7255911314948995
S9,random_shuffle_leaky,lgbm,0.9489912447658927,0.8372403769936809
S9,random_shuffle_leaky,cnn,0.9383326988960792,0.7975433739476218
