k,true,majority,conf_weighted
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
1,9,9,9
1,9,9,9
1,9,9,9
1,9,9,9
1,9,9,9
1,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
3,9,9,9
5,9,9,9
5,9,9,9
5,9,9,9
5,9,9,9
5,9,9,9
5,9,9,9
1,4,4,4
1,4,4,4
1,4,4,4
1,4,4,4
1,4,4,4
1,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
3,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
5,4,4,4
1,7,7,7
1,7,7,7
1,7,7,7
1,7,7,7
1,7,7,7
1,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
3,7,7,7
5,7,7,7
5,7,7,7
5,7,7,7
5,7,7,7
5,7,7,7
5,7,7,7
1,5,5,5
1,5,5,5
1,5,5,5
1,5,5,5
1,5,5,5
1,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
3,5,5,5
5,5,5,5
5,5,5,5
5,5,5,5
5,5,5,5
5,5,5,5
5,5,5,5
1,3,3,3
1,3,3,3
1,3,3,3
1,3,3,3
1,3,3,3
1,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
3,3,3,3
5,3,3,3
5,3,3,3
5,3,3,3
5,3,3,3
5,3,3,3
5,3,3,3
1,8,8,8
1,8,8,8
1,8,8,8
1,8,8,8
1,8,2,2
1,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
3,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
5,8,8,8
1,6,6,6
1,6,6,6
1,6,6,6
1,6,6,6
1,6,6,6
1,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
3,6,6,6
5,6,6,6
5,6,6,6
5,6,6,6
5,6,6,6
5,6,6,6
5,6,6,6
1,2,2,2
1,2,2,2
1,2,2,2
1,2,2,2
1,2,2,2
1,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
3,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
5,2,2,2
