k,rule,accuracy,coverage
1,majority,0.5873715124816447,1.0
1,conf_weighted,0.5873715124816447,1.0
1,ewma,0.5873715124816447,1.0
1,rejection,0.6586270871985158,0.7914831130690162
3,majority,0.6232558139534884,1.0
3,conf_weighted,0.6449612403100775,1.0
3,ewma,0.6527131782945736,1.0
3,rejection,0.7922705314009661,0.641860465116279
5,majority,0.6683087027914614,1.0
5,conf_weighted,0.6945812807881774,1.0
5,ewma,0.6978653530377669,1.0
5,rejection,0.8885793871866295,0.5894909688013136
7,majority,0.7294938917975567,1.0
7,conf_weighted,0.7347294938917975,1.0
7,ewma,0.7364746945898778,1.0
7,rejection,0.9510703363914373,0.5706806282722513
9,majority,0.750465549348231,1.0
9,conf_weighted,0.7783985102420856,1.0
9,ewma,0.7579143389199255,1.0
9,rejection,0.976897689768977,0.5642458100558659
