config,macro_f1,size_kb,median_ms,p95_ms,macs,sparsity
fp32_baseline,0.6165986806693418,94.654296875,1.1893000009877142,1.5038349989481499,371210.0,
fp16,0.6165986806693418,50.779296875,2.4300499990204116,3.001870001025963,,
dynamic_int8,0.6176136591699002,93.4609375,1.5918500012048753,2.20655500106659,370560.0,
static_int8_calibrated,0.6057228733033081,32.6455078125,1.8017000020336127,2.4640799971166407,6400.0,
qat_int8,0.6167674597950723,32.6455078125,1.8433000004733913,2.5305150014901296,6400.0,
pruned_30pct,0.5753083724778788,94.654296875,1.1914000006072456,1.7593000011402182,371210.0,0.3
pruned_50pct,0.5721792642300237,94.654296875,1.1954999990848592,1.6250749999016987,371210.0,0.5
pruned_70pct,0.6036226121418744,94.654296875,1.189749998957268,1.6165850007382685,371210.0,0.7
distilled_mlp,0.28698949360619813,23.6533203125,0.07510000068577938,0.08341000193468061,,
lda_features_baseline,0.6107212193115188,19.6357421875,0.3483000000414904,0.4787500025486223,,
